QUESTION_ID, CONTENT,CORRECT_ANSWER_ID,CORRECT_ANSWER_CONTENT
605,确保到(    )我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困，做到脱真贫、真脱贫。,2110,二〇二〇年
953,中国人民民主革命取得伟大胜利的重要标志是(    )。,3415,中国人民政治协商会议的召开
644,党的思想政治建设是党的建设的(    )，它决定着党的建设方向，在党的建设中居中心地位。,2265,灵魂
302,在中国社会主义青年团二届一中全会上，刘仁静当选为团中央第二任负责人，其职务名称是(    )。,1141,委员长
382,1984年2月25日，团中央会同农业部、水利电力部联合发出通知，决定组织(    )6省区青少年，营造黄河防护林，7年内绿化黄河两岸。,1381,宁夏、内蒙古、陕西、河南、山西、山东
793,坚持“全团带队”，聚焦增强少先队员光荣感和组织归属感，推进少先队工作(    )、与学校教育的特色差异化发展。,2789,制度化、专业化、时代化、系统化
925,日本全面侵华战争爆发的标志是(    )。,3302,卢沟桥事变
647,严肃党内生活，最根本的是认真执行党的(    )，着力解决发扬民主不够、正确集中不够、开展批评不够、严肃纪律不够等问题。,2279,民主集中制
966,中华人民共和国第一部宪法通过的时间是(    )。,3467,1954年9月
203,建立团干部协管工作档案，是协助党委管理团干部的一项(    )工作。,775,实事求是
622,军队是要准备打仗的，一切工作都必须坚持标准，向能打仗、打胜仗聚焦。,2177,战斗力
9,团的建设坚持(    )。(    )是共青团根本的组织原则。,34,民主集中制、民主集中制
993,1992年初，邓小平在视察南方谈话中指出：社会主义的本质，是解放生产力，发展生产力，消灭剥削，消除两极分化，最终达到(    )。,3575,共同富裕
602,建设现代化经济体系，必须把发展经济的着力点放在(    )上，把提高供给体系质量作为主攻方向，显著增强我国经济质量优势。,2097,实体经济
971,1965年，我国科研工作者在基础科学研究方面取得一项重大成果：(    )，这在世界上处于领先地位。,3488,人工合成牛胰岛素结晶
238,1946 年 6 月 25日，中央青委《关于成立新民主主义青年团的建议（草案）》报送(    )等中央领导。,914,任弼时
705,帮助广大青年树立正确的理想、坚定的信念，应该成为团组织的(    )。,2510,首要任务
6,中国共产主义青年团高举爱国主义旗帜，坚决维护和发展全国各族青年之间的平等团结互助和谐，铸牢(    ) 意识。,21,中华民族共同体
179,团内选举一律采用(    )的方式。,680,无记名投票
394,青年志愿者行动的目标是倡导团结友爱、助人为乐、见义勇为的社会风气。1993年底，(    )部门的青年首先亮出了青年志愿者的旗帜。,1416,铁路
223,深受广大青年喜爱、有深远历史影响的《中国青年》于(    )年10月在上海创刊。,857,1923
204,团干部的(    )是干部德才的集中体现，是他们的思想、品质、知识、才干等诸多因素的综合反映。,780,工作实绩
837,抗日战争爆发后中共建立的第一个根据地是(    )。,2953,晋察冀根据地
1000,1998年(    )，中共中央召开党的十一届三中全会20周年纪念大会。,3601,12月18日
827,2003年10月15日至16日，“神舟” (    )号载人飞船成功升空并安全返回，我国成为世界上第三个独立掌握载人航天技术的国家。,2911,五
1018,我国第一条跨海铁路是(    )。,3673,粤海铁路
467,开展“保护母亲河行动周”活动是在日常开展青少年植绿护绿活动的基础上，把(    )作为“保护母亲河行动周”。,1634,植树节
176,召开团的代表大会选举的团的基层委员会第一次会议的选举，由(    )指定一名新选出的委员主持。,666,团的代表大会主席团
683,中国将高举和平、发展、合作、(    )的旗帜，恪守维护世界和平、促进共同发展的外交政策宗旨。,2424,共赢
362,1957年5月15日至25日，中国新民主主义青年团第三次全国代表大会在北京召开。(    )代表党中央向大会致祝词。,1321,邓小平
464,1996年11月，团中央、国家科委、农业部、国务院扶贫开发领导小组联合发文提出了以(    )方式深化“服务万村行动”的意见。,1625,项目带动
404,国际志愿者日是(    )。,1447,12月5日
130,《中华人民共和国未成年人保护法》规定：(    )不得在中小学、幼儿园、托儿所的教室、寝室、活动室和其他未成年人集中活动的室内吸烟。,513,任何人
233,1933年5月，团中央根据红军总政治部建议建立了(    )。,896,少共国际队
722,广大青年主动学习(    )、拥抱(    )、开拓(    )，知识结构、能力素质显著提升。,2576,新知识、新技术、新视野
47,团员没有正当理由，连续(    )不参加团的组织生活，严格按照有关规定处理。,187,六个月
948,1946年8月，毛泽东在同(    )谈话中，提出了“一切反动派都是纸老虎”的著名论断。,3396,安娜·路易斯·斯特朗
665,过去五年，开放型经济新体制逐步健全，(    )、对外投资、外汇储备稳居世界前列。,2349,对外贸易
199,各级团委换届时，主管方(各级党委)应该提前 (    )发函征求协管方(上级团组织)意见。,759,两个月
352,在1950年开始的治理淮河的工程中，共有300万民工参加，其中青年民工占40%，沿淮地区的(    )的团员参加了治淮民工队伍。,1291,40%
398,1990年6月，(    )青少年义务工作者联合会成立，这是全国第一个义务工作团体。,1429,深圳市
172,团的支部委员会、总支部委员会、基层委员会委员候选人名额应多于应选名额的(    )。,651,20%
210,团干部换届考察的常用方法不包括(    )。,805,蹲班驻点
643,先进性和(    )是马克思主义政党的本质属性。,2263,纯洁性
813,上海“孤岛”时期是指从(    )年11月中国军队撤离上海到1941年12月珍珠港事变日军侵入上海租界为止。,2856,1937
477,《共青团工作跨世纪发展纲要》指出，必须坚持不懈地用邓小平理论武装全团，教育青年，要以(    )为重点推动青年理论学习深入开展。,1665,团干部和青年学生
261,1982年12 月20 日至30日，中国共产主义青年团第十一次全国代表大会在北京召开。团的十一大将团员年龄上限由25岁改为(    )岁。,1006,27
989,1990年4月7日，中国自行研制的(    )运载火箭在西昌卫星发射中心发射，将美国休斯公司生产的“亚洲一号”卫星送入转移轨道。,3558,“长征三号”
737,着力凝聚(    )，共青团伙伴队伍日益扩大。,2620,社会新组织
143,团支部干部应具备的(    )通常包括密切联系青年群众、实事求是的态度、朝气蓬勃的作风、谦虚的品格四个方面。,554,作风修养
685,世界正处于大发展大变革大调整时期，和平与发展仍然是时代主题。世界多极化、经济全球化、(    )、文化多样化深入发展。,2430,社会信息化
419,“中国保护未成年人爱心计划”以救助(    )未成年人为主要内容。,1491,城市社区中特困的
38,未建立人事档案的学生团员、其他团员的档案，是由(    )统一管理。,152,所在学校校团委或街道、乡镇团组织
976,1982年11月，新疆维吾尔自治区召开民族团结表彰大会。大会决定把每年(    )定为“民族团结教育月”。,3505,5月
70,团组织对团员的处分可分为：警告、(    ) 、撤销团内职务、留团察看、开除团籍等五种形式。,278,严重警告
522,团员必须开展批评和自我批评，勇于改正缺点和错，自觉维护(    )。,1801,团结
805,2018年7月2日习近平总书记在同团中央新一届领导班子成员集体谈话中强调：要加强对青年(    )，(    )就是团旗所向。,2822,政治引领 党旗所指
795,加强(    )，是全面从严治团第一位的要求。,2794,各级团委机关党的建设
52,对无正当理由，连续(    )个月不交纳团费的团员，按自行脱团处理。,207,6
662,(    )是我们党强身治病、保持肌体健康的锐利武器，也是加强和规范党内政治生活的重要手段。,2339,批评与自我批评
41,团员年度团籍注册以(    )为单位进行。,162,团支部
357,1952年8月，在国民经济恢复工作已经取得重大成绩，国家即将转入有计划的经济建设时期之时，中共中央主席毛泽东两次主持中共中央会议讨论(    )。,1306,青年团工作问题
564,(    )是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排，必须长期坚持、不断完善。,1946,人民代表大会制度
446,各级“希望工程”工作机构工作人员的工资、福利(    )从“希望工程”捐款中列支。,1572,不可以
159,(    )是团内的最严厉的处分形式,602,开除团籍
586,十九大党章是中国共产党历史上第(    )次修改党章。,2034,17
666,引导应对气候变化国际合作，成为全球生态文明建设的重要参与者、贡献者(    )。,2355,引领者
207,乡镇(街道)团委书记培养人选遴选程序不包括(    )。,790,民主选举
351,中华人民共和国成立后制定的第一部正式法律是(    )。,1288,《婚姻法》
823,(    )年10月10日，中共中央、中革军委率红军主力8万余人，从江西瑞金等地出发，开始震惊中外的二万五千里长征。,2897,1934
429,“希望工程”开始实施的时间是(    )。,1520,1989年10月30日
514,团组织在实施“帮助青年创业计划”时，主要措施包括加强创业教育、深化创业培训、提供创业服务和(    )。,1776,进行创业激励
828,1939年10月，毛泽东在《<共产党人>发刊词》中指出：统一战线，武装斗争，(    )，是中国共产党在中国革命中战胜敌人的三个法宝。,2914,党的建设
913,1927年7月中旬，中共中央决定在江西南昌举行起义，并成立了以(    )为书记的前敌委员会。,3255,周恩来
611,深化依法治国实践。成立中央全面(    )领导小组，加强对法治中国建设的统一领导。,2134,依法治国
1005,1938年10月，毛泽东在党的六届六中全会上所作的题为(    )的政治报告中，第一次提出了使马克思主义在中国具体化的历史任务。,3622,《论新阶段》
537,周恩来在《学习毛泽东》一文中指出，毛泽东坚持原则之中有两点值得我们学习：(    )。,1845,一、坚持方向；二、实现方向
336,由于延安地区建团的试点工作获得了一定的成功，1946年11月5日中共中央正式向各解放区发出了：(    )。,1241,《中共中央关于建立民主青年团的提议》
231,1928年7月12日至16日中国共青团在(    )召开了第五次全国代表大会。,886,莫斯科
185,经批准，团的代表会议可以增选委员会的部分成员，数额不得超过该级团的代表大会选出委员总数的(    )。,703,三分之一
228,(    )在北伐战争中的 独立团，英勇善战，所向披靡，建立卓越功勋，赢得了“铁军”光荣称号。,874,叶挺
792,深化团干部直接联系青年制度，(    )经常性向青年开放，引导团干部既身至基层、更心系青年，真正当好青年之友。,2785,团的领导机关
468,共青团在“保护母亲河行动”中提出的募资口号之一是“(    )捐植1棵树”。,1639,5元
955,中国人民政治协商会议第一次全体会议决定，以《义勇军进行曲》为(    )。,3423,代国歌
1017,(    )将党中央的主席制度改变为总书记制度。,3669,党的十二大
738,大力培养(    )，开发专门岗位，提高服务青少年的专业化水平。,2625,青少年事务社工
134,1964年6月，在团的九大工作报告中指出，团的干部应当具有(    )的作风。,525,“朝气蓬勃，实事求是”
472,“RAP绿色之约”行动中的“R”意指(    )。,1649,学习了解生态环境基本知识
306,青年团三届中央委员会由中央委员 (    )人、候补中央委员(    ) 人组成。,1152,9，5
271,2017 年，中共中央、国务院印发《中长期青年发展规划(    )》，并发出通知，要求各地区各部门结合实际认真贯彻落实。,1046,2016-2025年
424,“CRE行动”的目标是，到2000年，累计使(    )青年接受规范、系统的培训，并通过考试获得相应等级资格证书。,1506,100万
886,党的十三大第一次比较系统地论述了(    )。,3147,社会主义初级阶段理论
69,发展团员要严格标准、严格培养、严格程序，始终把(    ) 放在首位。,275,政治标准
447,中国青少年发展基金会设秘书长一人，副秘书长若干人，由(    )决定任免。,1576,常务理事会
53,如遇重大自然灾害等特殊情况需要收取“特殊团费”，须经(    )批准。,212,团中央
746,党的十九大提出，(    )，我国将建成富强民主文明和谐美丽的社会主义现代化强国。,2649,到本世纪中叶
935,1941年，《新华日报》上刊出周恩来的亲笔题词，“千古奇冤，江南一叶，同室操戈，相煎何急？！”此题词是为(    )而写。,3344,皖南事变
410,连续(    )年挂牌的“青年文明号”集体将由授牌的“青年文明号”监察委员会颁发纪念性奖杯。,1463,3
243,中国新民主主义青年团第一次全国代表大会一致通过(    )为中国新民主主义青年团名誉主席的决议。,936,任弼时
689,青年是标志时代的最灵敏的(    )，时代的责任赋予青年，时代的光荣属于青年。,2448,晴雨表
408,“青年文明号”实行(    )。,1458,年度考核
777,围绕加强和创新(    )，带领青年参与共建共治共享。,2741,社会治理
16,对于提出入团申请的青年，团组织要及时谈话，提出希望与要求，将他们列为(    ) 。,64,入团积极分子
391,联合国把(    )年定为国际志愿者年，旨在通过国际志愿者活动，促进社会对志愿服务的认知，从而促进志愿服务事业的发展。,1407,2001
466,“保护母亲河行动”中的“母亲河”是指(    )。,1633,黄河、长江及其他主要江河
848,1934年10月，中央红军开始长征后，留在中央根据地领导南方游击战争的是(    )。,2995,项英 陈毅
281,1919年5月18日，北京学生5000余人在北大法科礼堂召开大会，追悼在五四运动中死去的(    )学生郭钦光。,1076,北京大学
414,凡各级“青年文明号”集体发生(    )情况者，将被强制撤销牌匾。,1475,重大责任事故
614,建设(    )是中华民族伟大复兴的基础工程。,2147,教育强国
101,团的全国代表大会代表中，来自基层和一线的代表比例不低于(    )。,403,70%
697,道德之于个人、之于社会，都具有基础性意义，做人做事第一位的是(    )。,2478,崇德修身
346,中国新民主主义青年团第一次全国代表大会一致选举(    )为中国新民主主义青年团名誉主席。这是至今为止，中国青年团组织的惟一名誉主席。,1273,任弼时
321,由团苏区中央局负责动员组织的、主要由团员和青年组成的红军部队——少共国际师于(    )正式成立，开赴反“围剿”战场。,1197,1933年8月5日
659,党员有权向党负责地揭发、检举党的任何组织和任何党员违纪违法的事实，提倡(    )。,2326,实名举报
385,1988年5月10日至11日，团十二届(    )召开。,1388,一中全会
188,团的干部是团的工作的骨干，必须坚定理想信念、(    ) 、提高工作能力、锤炼优良作风。,714,心系广大青年
180,在选举团的各级委员会委员时，选票上的候选人名单以(    )为序排列。,683,姓氏笔画
439,下列不属于“希望工程”资助项目的是(    )。,1552,“希望工程科研奖”奖励基金
620,力争到二〇三五年(    )国防和军队现代化，到本世纪中叶把人民军队(    )世界一流军队。,2172,基本实现全面建成
951,1948年12月30日，毛泽东在为新华社所写的新年献词中发出了“(    )”的伟大号召。,3407,将革命进行到底
296,从1921年11月到1922年5月，全国陆续建立了团的地方组织(    ) 处，全国团同数量达5000人。,1122,17
438,“希望工程”工作机构应加强对助学金的严格管理，妥善使用。助学金原则上用于(    )。,1547,受助学生在校期间的书本费用
1021,我国承办的最大规模体育盛会，是2008年8月8日，在北京开幕的第(    )届夏季奥运会。,3686,28
936,1941年1月28日，中共中央军委重建的新四军新军部在苏北盐城成立，任命(    )为代理军长。,3347,陈毅
79,团员在(    )人以上的单位，可以建立团支部。,314,3
937,抗日战争时期，以(    )为书记的中共中央南方局，进行了艰苦而卓有成效的工作。,3350,周恩来
706,共青团要以改革创新精神不断提高团的建设科学化水平，特别是要着力扩大团的工作(    )。,2515,有效覆盖面
764,(    )是共青团的生命力之本。,2701,青年
964,我国实行第一个五年计划的期限是(    )。,3459,1953年—1957年
256,(    )年2月15日，共青团中央发出《关于在全国青少年中广泛开展“学习雷锋”的教育活动的通知》，在青少年中广泛开展学习雷锋教育活动。,988,1963
708,扩大有效覆盖面的问题，实质上是团的工作如何(    )的问题。,2521,延伸
422,18岁成人仪式教育活动是一个系统的教育过程，包括成人预备期教育、成人预备期志愿服务、(    )三个环节。,1499,成人宣誓仪式
148,中央企业团工委是在(    )成立的。,569,2000年9月
535,团委没有正式成立，临时团委可以审批团员，临时团支部(    )发展青年入团。,1838,不可以
997,1996年1月26日，(    )成立大会在北京举行。,3589,香港特别行政区筹备委员会
713,群团组织要多把注意力放在(    )身上，多做雪中送炭的事情。,2541,困难群众
386,(    )5月10日，共青团十三届一中全会举行。李克强当选为团中央书记处第一书记。,1392,1993年
856,电影《永不消逝的电波》中主人公李侠的原型是革命英烈李白和(    )。,3028,秦鸿钧
607,赋予自由贸易试验区更大改革自主权，探索建设(    )。,2119,自由贸易港
757,总书记强调高度重视青年的历史作用，始终从事关实现中华民族伟大复兴中国梦、事关党和人民事业全面发展的战略高度看待(    )。,2682,青年
663,严格执行干部考察考核制度，全面考察(    )表现，既重政绩又重政德。,2344,德、能、勤、绩、廉
822,中国人民经过八年抗战，最终取得胜利。日本宣布无条件投降是在(    )。,2890,1945年8月15日
883,我国现在实行的政党制度是(    )。,3137,中国共产党领导下的多党合作
917,1928年6月18日至7月11日，中国共产党在共产国际的帮助下在(    )举行第六次全国代表大会。,3271,莫斯科
729,在(    )中广泛开展“红领巾心向党”等生动活泼的主题活动，从小培养他们对党、对习近平总书记的朴素情感。,2599,少先队员
541,毛泽东在《青年运动的方向》一文中指出，延安青年运动的方向，就是全国的青年运动的方向。为什么？因为延安青年(    )是正确的。,1858,运动的方向
660,(    )的任务是确保党章党规党纪在全党有效执行，维护党的团结统一。,2329,党内监督
72,对团员的纪律处分，必须经(    ) 讨论通过，报团的基层委员会批准；批准后，报同级党的基层委员会备案。,286,支部大会
892,上海在六十年代新建的卫星城基本上是以某一工业为主体而建设，其中(    )作为科研基地，有科学城之称。,3171,嘉定
310,1925年5月15日，日本资本家枪杀工人 (    )，由此引发了轰轰烈烈的五卅运动。,1163,顾正红
1009,中国共产党的唯一宗旨是(    )。,3640,全心全意为人民服务
1012,在党的领导的内容中，(    )是核心和根本。,3652,政治领导
279,1919年5月3日，北京几十所学校的学生代表在(    )集会，决定在5月4日齐集天安门集会。,1070,北大法科礼堂
699,广大青年要加强思想道德修养，自觉弘扬爱国主义、集体主义精神，自觉遵守社会公德、职业道德、(    )。,2488,家庭美德
151,《共青团跨世纪发展纲要》是在1998年12月中国共产主义青年团第十四届(    )上通过的。,577,中央委员会第二次全体会议
1013,在社会主义初级阶段，马克思主义执政党的根本任务是领导(    )。,3654,政治建设
588,经过长期努力，中国特色社会主义进入了新时代，这是我国发展新的(    )。,2044,历史方位
517,在北京创办著名的搜孤网站的青年企业家是(    )。,1786,张朝阳
274,1918年5月21日的北京学生的请愿活动发生后，北京政府教育部训令各地学校(    )学生集会和请愿，学生们的斗争没有取得什么结果。,1055,“严加取缔”
220,我国第一部团的章程是(    )。,844,《中国社会主义青年团临时章程》
938,为巩固抗日民族统一战线，在根据地的政权建设中，中国共产党实行了(    )。,3355,“三三制”原则
353,在工业战线的恢复生产和发展生产的活动中，青年也是生力军和突击队。仅在1950年上半年，东北地区就有(    )青年工人创造出新的生产记录。,1292,16.7万
364,(    )，中共中央批转了团中央书记处《关于开展毛泽东著作的学习运动的提法问题》的请示报告，从而使青年学习毛泽东著作活动变成了全国性的群体学习活动。,1326,1960年1月
265,(    )年9月4日，全国人大常委会审议通过了《中华人民共和国未成年人保护法》。,1022,1991
919,红一方面军在第二次反“围剿”中，坚持实行(    )的方针，取得了反“围剿”的胜利。,3278,诱敌深入
554,要全面深化改革，完善和发展中国特色社会主义制度，推进国家(    )现代化。,1907,治理体系和治理能力
740,在(    )全面加强党的建设，强化党的领导，加强党内监督，落实党建工作责任制。,2630,团的各级机关
891,1921年7月23日，中国共产党第一次全国代表大会在上海召开，大会最后一天的会议转移到(    )举行，党的一大宣告了中国共产党的成立。,3168,浙江嘉兴南湖
465,绿色“希望工程”是指(    )。,1629,保护母亲河行动
579,(    )是当代中国精神的集中体现，凝结着全体人民共同的价值追求。,2008,社会主义核心价值观
842,中国共产党历史上唯一一次在国外召开的全国代表大会是(    )。,2973,六大
50,学生团员、下岗失业的团员、依靠抚恤或救济生活的团员、领取当地最低生活保障金的团员，每月应交纳团费(    )元。,198,0.2
350,为了使青年团组织能够和广大青年群众保持密切的联系，在1951年3月召开的(    )作出决定，要求每个团员必须参加一件团的或社会的工作。,1284,团中央常委扩大会
608,坚持党的领导、人民当家作主、依法治国有机统一。(    )是社会主义民主政治的本质特征。,2122,人民当家作主
817,1935年1月，中共中央政治局在长征途中举行(    )，这次会议是中共历史上生死攸关的转折点。,2870,遵义会议
694,青年是引风气之先的社会力量。一个民族的文明素养很大程度上体现在青年一代的道德水准和(    )上。,2467,精神风貌
249,(    )年12月，中央人民政府政务院正式宣布五月四日为“青年节”。,959,1949
727,改革(    )，团的领导机关干部直接联系服务青年实现制度化，到基层去、到网上去、到青年中去开展工作的自觉性不断增强。,2593,工作方式
332,1945年5月3日，(    )筹备委员会在延安召开成立大会。大会选举冯文彬等24人为筹委会委员，冯文彬为主任，蒋南翔为秘书长。,1229,解放区青年联合会
294,中国社会主义青年团临时章程规定：正式中央机关未组成时，以(    )团的机关代理中央职权。,1116,上海
99,根据团内选举规则的有关规定，团的代表会议代表人数应不少于同级团的委员会人数的(    )倍。,394,2
562,科学立法、严格执法、公正司法、全民守法深入推进，(    )建设相互促进，中国特色社会主义法治体系日益完善，全社会法治观念明显增强。,1937,法治国家、法治政府、法治社会
549,党的十九大报告提出一个新目标，即“在本世纪中叶建成(    )的社会主义现代化强国”。,1888,富强 民主 文明 和谐 美丽
1022,党的优良作风是党的(    )和宗旨的体现。,3692,性质
387,由中国社会科学院和团中央联合主办的第一届全国(    )青年评选活动于1994年12月8日在北京揭晓并举行颁奖大会。,1396,优秀社会科学成果奖
85,基层委员会由团员大会或代表大会选举产生，每届任期(    )，一般与同级党的委员会任期保持一致。,339,三年至五年
761,(    )是共青团第一位的属性，必须把政治建团作为最高原则。,2692,政治性
300,当旅欧中国少年共产党正式成立并得知国内已经正式建立团组织后，立即于(    )召开大会，通过全体投票表决，决定加入中国社会主义青年团。,1135,1922年10月
469,共青团在“保护母亲河行动”中提出了“(    )捐植1亩林”、捐建命名纪念林等募集资金的方案。,1641,200元
430,全国“希望工程”的最高决策和管理机构是(    )。,1523,中国青少年发展基金会
354,团中央于1951年创办了(    )。,1296,中国青年出版社
887,五四运动后期，中国(    )以自己特有的组织性、纪律性和坚定的革命性：在运动中发挥了主力军的作用。,3151,工人阶级
847,为了克服我国20世纪50年代末发生的严重经济困难，中央决定对国民经济实行“调整、巩固、充实、提高”的八字方针。制定此方针的会议是(    )。,2991,中共八届九中全会
616,我们要建设的现代化是人与自然(    )的现代化。,2155,和谐共生
482,“团干部321培训计划”的完成时间是(    )。,1680,3年
789,全团要善于变工作对象为工作力量，动员群众来服务群众，彻底打破(    )思维定势，构建全团联动、面向社会、开放共享的资源配置和供给机制。,2776,行政化
859,1942年延安整风运动的方针是(    )。,3041,惩前毖后，治病救人
664,改革开放应当大胆探索，勇于开拓，提高改革决策的科学性，更加注重改革的系统性、整体性、(    )，在实践中开创新路。,2348,协同性
513,共青团中央从1999年起开展的“乡村青年文化节”活动重点开展的三方面活动是(    )、组织文体大赛和开展卫生大扫除。,1772,举办科技大集
262,在(    )年 7 月召开的中国少年先锋队队员和辅导员代表会议上，“中国少年先锋队全国工作委员会” 成立。,1011,1984
175,召开团员大会选举的团的基层委员会第一次会议的选举，由(    )推荐一名新选出的委员主持。,664,上一届团的委员会
443,“希望小学”的建设期限是，从奠基到竣工不应超过(    )时间。,1562,10个月
451,“中国青年五四奖章”获得者的年龄条件是(    )周岁中国青年。,1586,14-40
7,团的建设必须坚持党的领导，要牢固树立(    )意识、(    )意识、(    )意识、看齐意识。,27,政治、大局、核心
26,每位新发展团员都需要有一个唯一发展团员(    )。,104,编号
735,全面实施(    )战略，针对青少年思维特点和接受习惯，努力开发网络公开课、动漫、音频栏目、情景视频等产品。,2615,产品化
575,党的十九大报告指出，(    )是最大的民生。,132,
902,1920年8月，在上海共产党组织领导下，成立了(    )。,3213,中国社会主义青年团
15,入团青年必须承认团的(    )。,59,章程
497,志愿者精神是：“奉献、友爱、(    )、进步”。,1724,互助
493,根据《共青团工作跨世纪发展纲要》，下列项目中不属于跨世纪青年文明工程的是(    )。,1714,“五自”活动
160,《关于团员证制度的决议》，是在中国共产主义青年团第(    )全国代表大会上通过的。,604,十二次
768,共青团的(    )是为中国特色社会主义事业培养建设者和接班人。,2713,根本任务
291,1920年11月下旬，广东早期青年团组织——广州社会主义青年团正式成立，负责人是(    )。,1108,谭平山
934,1941年初，(    )率领八路军第三五九旅开赴南泥湾实行军垦屯田。,3341,王震
360,根据经济建设形势的发展和广大农村青年的迫切要求，(    )，团中央作出了《关于在七年内扫除全国农村青年文盲的决定》，在全国范围内掀起扫盲活动的高潮。,1315,1955年12月
92,(    )是团的民主集中制原则在团的生活中的集中体现。,368,团内民主选举
651,共产主义远大理想和(    )共同理想，是中国共产党人的精神支柱和政治灵魂，也是保持党的团结统一的思想基础。,2295,中国特色社会主义
593,(    )是激励全党全国各族人民奋勇前进的强大精神力量。,2064,中国特色社会主义文化
